Year,HousePrice
1978,62700
1979,71900
1980,76375
1981,83175
1982,83850
1983,89775
1984,97550
1985,100825
1986,112075
1987,127575
1988,138650
1989,148125
1990,149075
1991,147275
1992,144675
1993,147475
1994,154175
1995,157750
1996,165525
1997,174875
1998,181150
1999,194675
2000,205375
2001,211050
2002,226700
2003,244550
2004,272125
2005,291275
2006,303900
2007,309800
2008,289075
2009,269350
2010,272025
2011,264600
2012,288225
2013,321650
2014,345450
2015,350450
2016,359650
2017,381150
2018,382475
2019,379875
2020,387900
2021,452675
2022,516425
2023,507125
2024,507875
