Year,Consumption
1978,213.3
1979,226.3
1980,226.4
1981,244
1982,253
1983,295
1984,342.2
1985,380.4
1986,421.4
1987,442
1988,475.1
1989,494.3
1990,497.1
1991,477.2
1992,508.1
1993,551.5
1994,607.2
1995,635.7
1996,676.3
1997,715.5
1998,779.3
1999,855.6
2000,912.6
2001,941.5
2002,985.4
2003,1017.8
2004,1080.6
2005,1128.6
2006,1158.3
2007,1188.1
2008,1098.8
2009,1012.1
2010,1049
2011,1093.5
2012,1144.2
2013,1191.8
2014,1247.3
2015,1315.8
2016,1356.5
2017,1415.9
2018,1488.8
2019,1523.6
2020,1621.7
2021,1991.9
2022,2077.9
2023,2141
2024,2178.1
