Year,Production
1978,100
1979,103.056
1980,99.37534
1981,100.39308
1982,94.92072
1983,99.46263
1984,109.18598
1985,110.95319
1986,113.39013
1987,119.84028
1988,126.18845
1989,127.20157
1990,128.21601
1991,125.76951
1992,130.44909
1993,135.07845
1994,143.06734
1995,150.33147
1996,157.7307
1997,170.99144
1998,182.44569
1999,191.68698
2000,199.51915
2001,192.30761
2002,193.21419
2003,195.82021
2004,201.93362
2005,210.21759
2006,215.61955
2007,221.61755
2008,211.00677
2009,181.9934
2010,192.81086
2011,198.43982
2012,203.57924
2013,205.4273
2014,207.78932
2015,206.68153
2016,205.06959
2017,206.21244
2018,208.86499
2019,204.74795
2020,191.28457
2021,200.76115
2022,206.22719
2023,205.10789
2024,
